地區,類型,店名,地址
其他,其他,咚窩蕊喫茶店（公休日請見IG）,700台灣臺南市中西區永福路二段227巷19號
南崁,其他,閾島 Liminal Space,338台灣桃園市蘆竹區光明路一段6號
南崁,義式,Mövenpick Café-莫凡彼桃園台茂店,338台灣桃園市蘆竹區南崁路一段112號3F
南崁,火鍋,涮之華 桃園台茂店,338台灣桃園市蘆竹區南崁路一段112號6樓
南崁,韓式,涓豆腐台茂店,台灣桃園市蘆竹區南崁路一段112號。5樓
南崁,義式,Second Floor 貳樓桃園台茂店,338台灣桃園市蘆竹區南崁路一段112號1樓
南崁,義式,NINI 尼尼台茂店,33859台灣桃園市蘆竹區南崁路一段112號台茂6樓
台北,其他,艸藴,100台灣臺北市中正區和平西路一段81號
台北,其他,茹絲葵美式牛排（台北民生店）,105台灣臺北市松山區民生東路三段135號
台北,其他,甜酸二號店 - Sweet & Sour Kitchen 重慶門市,103台灣臺北市大同區重慶北路一段112號
台北,其他,ABCD . A Better Coffee & Doughnut,103台灣臺北市大同區南京西路18巷4弄8號
台北,其他,花滔廚房,105台灣臺北市松山區光復北路120巷31號
台北,義式,義大利米蘭手工窯烤披薩 台北中山店,10491台灣臺北市中山區四平街55號2樓
台北,其他,索菲烤布蕾-公館店 / Sophia Crème Brûlée,100台灣臺北市中正區羅斯福路四段92號水源市場二樓001攤，上手扶梯向後走到底左轉
台北,其他,Flügel Studio,106台灣臺北市大安區辛亥路一段34巷3號一樓
台北,其他,Hoto Cafe(無訂位服務）,10491台灣臺北市中山區南京東路一段13巷7弄6號
台北,韓式,永和樓（영화루)韓式中華料理店（大安總店）,106台灣臺北市大安區和平東路二段118巷52弄3號1樓
台北,義式,"PAI PAI CANNOLI 中山店 , GELATO fatto da PAI PAI CANNOLI｜義大利卡諾里｜義式冰淇淋｜甜點｜咖啡｜中山站美食",10352台灣臺北市大同區赤峰街17巷5號1樓
台北,其他,금하동(金河洞-韓式烤肉專門店),108台灣臺北市萬華區成都路100之1號 1 樓
台北,其他,BRUN不然-安和店,106台灣臺北市大安區安和路一段7號
